state,Pop,Area
AL,"4,903,185",52423
AK,"731,545",656425
AZ,"7,278,717",114006
AR,"3,017,804",53182
CA,"39,512,223",163707
CO,"5,758,736",104100
CT,"3,565,287",5544
DE,"973,764",1954
DC,"705,749",68
FL,"21,477,737",65758
GA,"10,617,423",59441
HI,"1,415,872",10932
ID,"1,787,065",83574
IL,"12,671,821",57918
IN,"6,732,219",36420
IA,"3,155,070",56276
KS,"2,913,314",82282
KY,"4,467,673",40411
LA,"4,648,794",51843
ME,"1,344,212",35387
MD,"6,045,680",12407
MA,"6,892,503",10555
MI,"9,986,857",96810
MN,"5,639,632",86943
MS,"2,976,149",48434
MO,"6,137,428",69709
MT,"1,068,778",147046
NE,"1,934,408",77358
NV,"3,080,156",110567
NH,"1,359,711",9351
NJ,"8,882,190",8722
NM,"2,096,829",121593
NY,"19,453,561",54475
NC,"10,488,084",53821
ND,"762,062",70704
OH,"11,689,100",44828
OK,"3,956,971",69903
OR,"4,217,737",98386
PA,"12,801,989",46058
RI,"1,059,361",1545
SC,"5,148,714",32007
SD,"884,659",77121
TN,"6,829,174",42146
TX,"28,995,881",268601
UT,"3,205,958",84904
VT,"623,989",9615
VA,"8,535,519",42769
WA,"7,614,893",71303
WV,"1,792,147",24231
WI,"5,822,434",65503
WY,"578,759",97818
,,
